status,display_name,first_name,last_name,esb_id,gsis_id,birth_date,college_name,position_group,position,jersey_number,height,weight,years_of_experience,team_abbr,team_seq,current_team_id,football_name,entry_year,rookie_year,draft_club,draft_number,college_conference,status_description_abbr,status_short_description,gsis_it_id,short_name,smart_id,headshot,suffix,uniform_number,draft_round
ACT,A'Shawn Robinson,A'Shawn,Robinson,ROB367960,00-0032889,1995-03-21,Alabama,DL,DE,94.0,76.0,330.0,9,CAR,1.0,0750,A'Shawn,2016.0,2016.0,DET,46.0,Southeastern Conference,A01,Active,43335.0,A.Robinson,3200524f-4236-7960-bf20-bc060ac0f49c,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/erkfjohq7j2kqigny727",,94,
ACT,A.J. Brown,Arthur,Brown,BRO413223,00-0035676,1997-06-30,Mississippi,WR,WR,11.0,72.0,226.0,6,PHI,1.0,3700,A.J.,2019.0,2019.0,TEN,51.0,Southeastern Conference,A01,Active,47834.0,A.Brown,32004252-4f41-3223-e4c5-1e30dffa87f8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",,11,
ACT,A.J. Cann,Aaron,Cann,CAN364949,00-0032255,1991-10-03,South Carolina,OL,G,60.0,75.0,325.0,6,HOU,1.0,2120,A.J.,2015.0,2015.0,JAX,67.0,Southeastern Conference,A01,Active,42410.0,A.Cann,32004341-4e36-4949-5f30-831832b20b7c,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wnsy7wpssmnecbo46sxn",,60,
ACT,A.J. Cole,A.J.,Cole,COL214396,00-0035190,1995-11-27,North Carolina State,SPEC,P,6.0,76.0,220.0,6,LV,1.0,2520,A.J.,2019.0,2019.0,,,Atlantic Coast Conference,A01,Active,48335.0,A.Cole,3200434f-4c21-4396-afbe-6ef134e5f11e,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iuaqixqidj73rkkwczso",III,6,
ACT,A.J. Epenesa,Andrew,Epenesa,EPE415291,00-0036192,1998-09-15,Iowa,DL,DE,57.0,77.0,280.0,5,BUF,,0610,A.J.,2020.0,2020.0,BUF,54.0,Big Ten Conference,A01,Active,52462.0,A.Epenesa,32004550-4541-5291-9369-b9d0c170a565,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cuvz6epit4d0o8grclqm",,57,
ACT,A.J. Parker,A.J.,Parker,PAR134458,00-0036752,1998-02-15,Kansas State,DB,CB,37.0,71.0,178.0,2,CAR,,0750,A.J.,2021.0,2021.0,,,Big Twelve Conference,A01,Active,53957.0,A.Parker,32005041-5213-4458-c145-d0f45ef1c62d,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tsgua6lcqdb7nobidicc",,37,
ACT,A.J. Tarpley,Aubrey,Tarpley,TAR428317,00-0031642,1992-04-30,Stanford,LB,MLB,59.0,72.0,242.0,0,BUF,1.0,0610,A.J.,2015.0,2015.0,,,Pacific Twelve Conference,A01,Active,42673.0,,32005441-5242-8317-db25-8c16f1c1465e,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o1olsqys8xaqlstlqnxs",,,
ACT,A.J. Terrell,A.J.,Terrell,TER272956,00-0036285,1998-09-23,Clemson,DB,CB,24.0,74.0,190.0,5,ATL,,0200,A.J.,2020.0,2020.0,ATL,16.0,Atlantic Coast Conference,A01,Active,52424.0,A.Terrell,32005445-5227-2956-3d70-15eacafe6b00,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mijlbfupcqxu8g7mmm4i",,24,
ACT,AJ Barner,A.J.,Barner,BAR235889,00-0039793,2002-05-03,Michigan,TE,TE,88.0,78.0,251.0,0,SEA,,4600,A.J.,2024.0,2024.0,SEA,121.0,Big Ten Conference,A01,Active,57242.0,A.Barner,32004241-5223-5889-95d9-0ba3aeeb36ed,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/msnzbeyjoemcas9dm8vt",,88,
ACT,AJ Finley,Allister,Finley,FIN364399,00-0038866,2001-09-14,Mississippi,DB,FS,24.0,75.0,205.0,2,SEA,,4600,A.J.,2023.0,2023.0,,,Southeastern Conference,A01,Active,56586.0,A.Finley,32004649-4e36-4399-d7ba-a2594296a7de,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/odck8ibortcwvurmehkh",,24,
ACT,AJ McCarron,Raymond,McCarron,MCC176481,00-0031288,1990-09-13,Alabama,QB,QB,4.0,75.0,220.0,8,CIN,1.0,0920,AJ,2014.0,2014.0,CIN,164.0,Southeastern Conference,A01,Active,41393.0,A.McCarron,32004d43-4317-6481-14f6-641e3cdc7a9a,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fvakqnmsg35llkcme11h",Jr.,4,
ACT,Aaron Banks,Aaron,Banks,BAN394046,00-0036551,1997-09-03,Notre Dame,OL,G,65.0,77.0,330.0,4,SF,,4500,Aaron,2021.0,2021.0,SF,48.0,Independent,A01,Active,53477.0,A.Banks,32004241-4e39-4046-1bac-1be9e6b0650e,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oe8sqkw3aeh1nvfofzqk",,65,
ACT,Aaron Brewer,Aaron,Brewer,BRE611741,00-0028946,1990-07-05,San Diego State,SPEC,LS,46.0,77.0,232.0,13,ARI,1.0,3800,Aaron,2012.0,2012.0,,,Mountain West Conference,A01,Active,38897.0,A.Brewer,32004252-4561-1741-8e18-114a5262818a,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jyuyqxrvpdiyvdzbnnzb",,46,
ACT,Aaron Brewer,Aaron,Brewer,BRE606310,00-0036171,1997-10-28,Texas State,OL,G,55.0,75.0,270.0,5,MIA,,2700,Aaron,2020.0,2020.0,,,Sun Belt Conference,A01,Active,53063.0,A.Brewer,32004252-4560-6310-2786-1365a7a85628,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kebpn1b4ls7vavlwxrrf",,55,
ACT,Aaron Burbridge,Aaron,Burbridge,BUR012358,00-0032441,1993-12-23,Michigan State,WR,WR,13.0,73.0,208.0,3,DEN,1.0,1400,Aaron,2016.0,2016.0,SF,213.0,Big Ten Conference,A01,Active,43502.0,A.Burbridge,32004255-5201-2358-cb4e-fc173afba1b6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bugnmtls6p4dz9boruea",,,
ACT,Aaron Jones,Aaron,Jones,JON026624,00-0033293,1994-12-02,Texas-El Paso,RB,RB,33.0,69.0,208.0,8,MIN,1.0,3000,Aaron,2017.0,2017.0,GB,182.0,Conference USA,A01,Active,44995.0,A.Jones,32004a4f-4e02-6624-33bd-3ba151b7013d,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",,33,
ACT,Aaron Rodgers,Aaron,Rodgers,ROD339293,00-0023459,1983-12-02,California,QB,QB,8.0,74.0,225.0,20,NYJ,1.0,3430,Aaron,2005.0,2005.0,GB,24.0,Pacific Ten Conference,A01,Active,29851.0,A.Rodgers,3200524f-4433-9293-a3cf-ad7758d03003,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",,8,
ACT,Aaron Stinnie,Aaron,Stinnie,STI628067,00-0034668,1994-02-18,James Madison,OL,G,64.0,75.0,312.0,7,NYG,1.0,3410,Aaron,2018.0,2018.0,,,Colonial Athletic Association,A01,Active,46852.0,A.Stinnie,32005354-4962-8067-a1e4-6d8fce7235a8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eqmyyng2jmnsttaozuno",,64,
ACT,Abraham Lucas,Abraham,Lucas,LUC027057,00-0037812,1998-10-15,Washington State,OL,T,72.0,79.0,319.0,3,SEA,,4600,Abraham,2022.0,2022.0,SEA,72.0,Pacific Twelve Conference,A01,Active,54537.0,A.Lucas,32004c55-4302-7057-e67b-e5e8accdbf7f,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rsaofsejp83nb68f0lhh",,72,
ACT,Adam Butler,Adam,Butler,BUT106408,00-0033381,1994-04-12,Vanderbilt,DL,DT,69.0,77.0,300.0,7,LV,1.0,2520,Adam,2017.0,2017.0,,,Southeastern Conference,A01,Active,45274.0,A.Butler,32004255-5410-6408-e7df-5e762e3130ea,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kpbasd2x1ck6avhrdvya",,69,
ACT,Adam Prentice,Adam,Prentice,PRE226147,00-0036727,1997-01-16,South Carolina,RB,FB,46.0,72.0,245.0,4,NO,,3300,Adam,2021.0,2021.0,,,Southeastern Conference,A01,Active,53932.0,A.Prentice,32005052-4522-6147-2079-055f099032bc,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yiwqv2dccizjdkw1dmye",,46,
ACT,Adam Thielen,Adam,Thielen,THI510348,00-0030035,1990-08-22,Minn. State-Mankato,WR,WR,19.0,74.0,200.0,11,CAR,1.0,0750,Adam,2013.0,2013.0,,,Northern Sun Intercollegiate Conference,A01,Active,40488.0,A.Thielen,32005448-4951-0348-440c-28f32f21652b,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",,19,
ACT,Adam Trautman,Adam,Trautman,TRA447732,00-0036422,1997-02-05,Dayton,TE,TE,82.0,78.0,253.0,5,DEN,,1400,Adam,2020.0,2020.0,NO,105.0,Pioneer Football League,A01,Active,52513.0,A.Trautman,32005452-4144-7732-6999-8ca51b1f74be,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qvqigum2qjhil0z3er2c",,82,
ACT,Adarius Pickett,Adarius,Pickett,PIC750709,00-0035060,1996-09-05,UCLA,DB,DB,35.0,71.0,198.0,0,NE,1.0,3200,Adarius,2019.0,2019.0,,,Pacific Twelve Conference,A01,Active,48157.0,A.Pickett,32005049-4375-0709-c2b7-f0800255150d,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oi6z5vw327qfaqcltqep",,,
ACT,Adetomiwa Adebawore,Adetomiwa,Adebawore,ADE021468,00-0039031,2001-03-04,Northwestern,DL,DT,95.0,74.0,280.0,2,IND,,2200,Adetomiwa,2023.0,2023.0,IND,110.0,Big Ten Conference,A01,Active,55975.0,A.Adebawore,32004144-4502-1468-3d33-a0f9da804e5c,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vxcgqd1sxzs6ub3jcubz",,95,
ACT,Adisa Isaac,Adisa,Isaac,ISA069215,00-0039791,2001-10-04,Penn State,LB,OLB,50.0,76.0,249.0,0,BAL,,0325,Adisa,2024.0,2024.0,BAL,93.0,Big Ten Conference,A01,Active,57214.0,A.Isaac,32004953-4106-9215-25ad-e3a4021a3f62,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dx5rsuoquxk8sxh9mezp",,50,
ACT,Adonai Mitchell,Adonai,Mitchell,MIT056120,00-0039890,2002-10-08,Texas,WR,WR,10.0,76.0,196.0,0,IND,,2200,Adonai,2024.0,2024.0,IND,52.0,Big Twelve Conference,A01,Active,57173.0,A.Mitchell,32004d49-5405-6120-269b-4e222571d8ba,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fztxucnxhoxep6utluyc",,10,
ACT,Adoree' Jackson,Adoree',Jackson,JAC014782,00-0033878,1995-09-18,Southern California,DB,CB,21.0,71.0,185.0,8,NYG,1.0,3410,Adoree',2017.0,2017.0,TEN,18.0,Pacific Twelve Conference,A01,Active,44830.0,A.Jackson,32004a41-4301-4782-dca8-226b6841f848,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wz7ftjbrza2khve21rpl",,21,
ACT,Adrian Magee,Adrian,Magee,MAG110983,00-0035861,,,OL,OG,74.0,76.0,343.0,0,NO,,3300,,,,,,,,,,,32004d41-4711-0983-ba20-c5586fde8455,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fqnh4zoxojuaumhg3w5z",,,
ACT,Adrian Phillips,Adrian,Phillips,PHI113173,00-0031404,1992-03-28,Texas,DB,FS,21.0,71.0,210.0,9,NE,1.0,3200,Adrian,2014.0,2014.0,,,Big Twelve Conference,A01,Active,42116.0,A.Phillips,32005048-4911-3173-b663-47be73764dc8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfbt4o1jp3ttsm18v0ur",,21,
ACT,Ahkello Witherspoon,James,Witherspoon,WIT145608,00-0033783,1995-03-21,Colorado,DB,CB,4.0,74.0,195.0,8,LA,1.0,2510,Ahkello,2017.0,2017.0,SF,66.0,Pacific Twelve Conference,A01,Active,44878.0,A.Witherspoon,32005749-5414-5608-c892-62ffde1da4f1,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s0ugeantfk8glnsstdwe",,4,
ACT,Ahmad Thomas,Ahmad,Thomas,THO017083,00-0033447,1994-12-15,Oklahoma,LB,ILB,52.0,72.0,227.0,1,ATL,1.0,0200,Ahmad,2017.0,2017.0,,,Big Twelve Conference,A01,Active,45347.0,A.Thomas,32005448-4f01-7083-73ef-a88e38f15ec7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hu1vy5fqxcx49ypgc8nl",,,
