home_team,home_score,away_team,away_score,game_date,game_time,timezone,season,week,game_id,score_diff,is_dome,is_primetime,moon_phase,home_planet_strength,away_planet_strength,home_zodiac_strength,away_zodiac_strength,beneficial_aspects,malefic_aspects,home_nakshatra_score,away_nakshatra_score,planetary_alignment
ATL,17,JAX,15,2016-09-01,19:00,US/Eastern,2016,0,400879270,2,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
MIA,10,TEN,21,2016-09-01,19:00,US/Eastern,2016,0,400879271,-11,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
NYG,17,NE,9,2016-09-01,19:00,US/Eastern,2016,0,400874756,8,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
PHI,14,NYJ,6,2016-09-01,19:00,US/Eastern,2016,0,400874792,8,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
CIN,10,IND,13,2016-09-01,19:30,US/Eastern,2016,0,400874763,-3,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
DET,31,BUF,0,2016-09-01,19:30,US/Eastern,2016,0,400874752,31,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
CAR,18,PIT,6,2016-09-01,19:30,US/Eastern,2016,0,400874770,12,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
CLE,7,CHI,21,2016-09-01,20:00,US/Eastern,2016,0,400874766,-14,False,True,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
DAL,17,HOU,28,2016-09-01,19:00,US/Central,2016,0,400874800,-11,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
KC,17,GB,7,2016-09-01,19:00,US/Central,2016,0,400874789,10,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
MIN,27,LAR,25,2016-09-01,19:00,US/Central,2016,0,400874794,2,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
NO,14,BAL,23,2016-09-01,19:00,US/Central,2016,0,400874760,-9,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
ARI,38,DEN,17,2016-09-01,18:30,US/Arizona,2016,0,400874780,21,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
OAK,21,SEA,23,2016-09-01,19:00,US/Pacific,2016,0,400874783,-2,False,False,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
