game_datetime,home_team,away_team,home_team_score,away_team_score,home_team_win_pct,away_team_win_pct,home_team_points_per_game,away_team_points_per_game,home_team_points_allowed_per_game,away_team_points_allowed_per_game,stadium_latitude,stadium_longitude
2019-09-05,CHI,GB,3.0,10.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,CAR,LA,27.0,30.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,CLE,TEN,13.0,43.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,JAX,KC,26.0,40.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,MIA,BAL,10.0,59.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,MIN,ATL,28.0,12.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,NYJ,BUF,16.0,17.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,PHI,WAS,32.0,27.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,LAC,IND,30.0,24.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,SEA,CIN,21.0,20.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,ARI,DET,27.0,27.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,DAL,NYG,35.0,17.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,TB,SF,17.0,31.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-08,NE,PIT,33.0,3.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-09,NO,HOU,30.0,28.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-09,OAK,DEN,24.0,16.0,0.5,0.5,20.0,20.0,20.0,20.0,0,0
2019-09-12,CAR,TB,14.0,20.0,1.0,1.0,30.0,31.0,27.0,17.0,0,0
2019-09-15,BAL,ARI,23.0,17.0,1.0,0.0,59.0,27.0,10.0,27.0,0,0
2019-09-15,CIN,SF,17.0,41.0,0.0,1.0,20.0,31.0,21.0,17.0,0,0
2019-09-15,DET,LAC,13.0,10.0,0.0,0.0,27.0,24.0,27.0,30.0,0,0
2019-09-15,GB,MIN,21.0,16.0,1.0,0.0,10.0,12.0,3.0,28.0,0,0
2019-09-15,HOU,JAX,13.0,12.0,0.0,1.0,28.0,40.0,30.0,26.0,0,0
2019-09-15,MIA,NE,0.0,43.0,1.0,0.0,59.0,3.0,10.0,33.0,0,0
2019-09-15,NYG,BUF,14.0,28.0,0.0,1.0,17.0,17.0,35.0,16.0,0,0
2019-09-15,PIT,SEA,26.0,28.0,0.0,0.0,3.0,20.0,33.0,21.0,0,0
2019-09-15,TEN,IND,17.0,19.0,1.0,0.0,43.0,24.0,13.0,30.0,0,0
2019-09-15,WAS,DAL,21.0,31.0,0.0,0.0,27.0,17.0,32.0,35.0,0,0
2019-09-15,OAK,KC,10.0,28.0,0.0,1.0,16.0,40.0,24.0,26.0,0,0
2019-09-15,DEN,CHI,14.0,16.0,0.0,1.0,16.0,10.0,24.0,3.0,0,0
2019-09-15,LA,NO,27.0,9.0,1.0,0.0,30.0,28.0,27.0,30.0,0,0
2019-09-15,ATL,PHI,24.0,20.0,0.0,0.0,12.0,27.0,28.0,32.0,0,0
2019-09-16,NYJ,CLE,3.0,23.0,1.0,1.0,17.0,43.0,16.0,13.0,0,0
2019-09-19,JAX,TEN,20.0,7.0,1.0,0.5,40.0,21.5,26.0,23.5,0,0
2019-09-22,BUF,CIN,21.0,17.0,1.0,1.0,22.5,36.0,15.0,17.0,0,0
2019-09-22,DAL,MIA,31.0,6.0,0.0,1.0,24.0,59.0,31.5,10.0,0,0
2019-09-22,GB,DEN,27.0,16.0,1.0,0.0,15.5,15.0,9.5,20.0,0,0
2019-09-22,IND,ATL,27.0,24.0,0.5,0.5,21.5,18.0,23.5,24.0,0,0
2019-09-22,KC,BAL,33.0,28.0,1.0,1.0,34.0,41.0,18.0,13.5,0,0
2019-09-22,MIN,OAK,34.0,14.0,0.0,1.0,12.0,34.0,28.0,18.0,0,0
2019-09-22,NE,NYJ,30.0,14.0,0.0,1.0,3.0,17.0,33.0,16.0,0,0
2019-09-22,PHI,DET,24.0,27.0,0.5,0.5,18.0,20.0,24.0,18.5,0,0
2019-09-22,ARI,CAR,20.0,38.0,0.0,1.0,27.0,30.0,27.0,27.0,0,0
2019-09-22,TB,NYG,31.0,32.0,1.0,1.0,31.0,22.5,17.0,15.0,0,0
