game_id,season,week,game_date,venue_name,venue_indoor,venue_latitude,venue_longitude,home_team,home_score,home_record,home_win_percentage,away_team,away_score,away_record,away_win_percentage,away_firstdowns,away_firstdownspassing,away_firstdownsrushing,away_firstdownspenalty,away_thirddowneff,away_fourthdowneff,away_totaloffensiveplays,away_totalyards,away_yardsperplay,away_totaldrives,away_netpassingyards,away_completionattempts,away_yardsperpass,away_interceptions,away_sacksyardslost,away_rushingyards,away_rushingattempts,away_yardsperrushattempt,away_redzoneattempts,away_totalpenaltiesyards,away_turnovers,away_fumbleslost,away_defensivetouchdowns,away_possessiontime,spread,over_under,home_moneyline,away_moneyline,away_totalpointspergame,away_yardspergame,away_passingyardspergame,away_rushingyardspergame,away_totalpointspergameallowed,away_yardspergameallowed,away_passingyardspergameallowed,away_rushingyardspergameallowed
401127913,2019,1,2019-09-06T00:20Z,Soldier Field,,,,CHI,3,0-1,0.0,GB,10,1-0,0.0,16,10,3,3,3-15,0-2,65,254,3.9,12,208,26/45,4.2,1,5-20,46,15,3.1,0-1,10-107,1,0,0,28:57,,,,,,,,,,,,
401127928,2019,1,2019-09-08T17:00Z,Huntington Bank Field,,,,CLE,13,0-1,0.0,TEN,43,1-0,0.0,19,13,4,2,1-10,0-2,63,346,5.5,14,244,25/38,5.7,3,5-41,102,20,5.1,2-2,18-182,3,0,0,30:42,,,,,,,,,,,,
401127954,2019,1,2019-09-08T17:00Z,Hard Rock Stadium,,,,MIA,10,0-1,0.0,BAL,59,1-0,0.0,12,10,1,1,3-10,0-0,47,200,4.3,10,179,15/32,5.1,2,3-11,21,12,1.8,1-1,9-64,3,1,0,19:53,,,,,,,,,,,,
401127961,2019,1,2019-09-08T17:00Z,U.S. Bank Stadium,,,,MIN,28,1-0,0.0,ATL,12,0-1,0.0,18,4,10,4,5-10,0-0,49,269,5.5,10,97,8/10,8.8,0,1-1,172,38,4.5,3-3,11-100,0,0,0,29:47,,,,,,,,,,,,
401127963,2019,1,2019-09-08T17:00Z,MetLife Stadium,,,,NYJ,16,0-1,0.0,BUF,17,1-0,0.0,17,12,3,2,7-17,1-2,66,223,3.4,11,155,28/41,3.4,0,4-20,68,21,3.2,1-1,8-67,1,1,2,32:01,,,,,,,,,,,,
401127968,2019,1,2019-09-08T17:00Z,Lincoln Financial Field,,,,PHI,32,1-0,0.0,WSH,27,0-1,0.0,22,13,9,0,11-17,1-2,71,436,6.1,10,313,28/39,7.8,0,1-0,123,31,4.0,2-3,6-55,0,0,0,34:27,,,,,,,,,,,,
401127923,2019,1,2019-09-08T17:00Z,Bank of America Stadium,,,,CAR,27,0-1,0.0,LAR,30,1-0,0.0,21,13,8,0,5-11,0-0,64,343,5.4,13,216,25/38,5.3,1,3-23,127,23,5.5,3-3,6-46,3,2,0,26:44,,,,,,,,,,,,
401127931,2019,1,2019-09-08T17:00Z,EverBank Stadium,,,,JAX,26,0-1,0.0,KC,40,1-0,0.0,18,13,3,2,5-10,0-0,50,428,8.6,10,347,27/33,10.2,1,1-3,81,16,5.1,1-3,10-71,2,1,0,28:45,,,,,,,,,,,,
401127972,2019,1,2019-09-08T20:05Z,Dignity Health Sports Park,,,,LAC,30,1-0,0.0,IND,24,0-1,0.0,25,14,9,2,7-11,0-0,59,435,7.4,9,310,25/34,8.2,1,4-23,125,21,6.0,2-3,3-20,2,1,0,32:50,,,,,,,,,,,,
401127995,2019,1,2019-09-08T20:05Z,Lumen Field,,,,SEA,21,1-0,0.0,CIN,20,0-1,0.0,12,6,4,2,4-12,0-0,49,232,4.7,14,160,14/20,6.7,0,4-35,72,25,2.9,2-2,8-55,1,1,0,24:10,,,,,,,,,,,,
401128007,2019,1,2019-09-08T20:25Z,AT&T Stadium,,,,DAL,35,1-0,0.0,NYG,17,0-1,0.0,23,18,4,1,6-10,0-0,62,494,8.0,10,405,25/32,12.7,0,0-0,89,30,3.0,2-2,6-47,0,0,0,32:18,,,,,,,,,,,,
401127999,2019,1,2019-09-08T20:25Z,State Farm Stadium,,,,ARI,27,0-0-1,0.0,DET,27,0-0-1,0.0,21,16,3,2,9-22,0-0,82,387,4.7,16,275,29/54,4.7,1,5-33,112,23,4.9,1-4,7-35,1,0,0,30:37,,,,,,,,,,,,
401128010,2019,1,2019-09-08T20:25Z,Raymond James Stadium,,,,TB,17,0-1,0.0,SF,31,1-0,0.0,21,10,7,4,5-11,0-2,65,295,4.5,11,174,20/36,4.5,3,3-20,121,26,4.7,1-4,8-87,4,1,2,29:56,,,,,,,,,,,,
401127860,2019,1,2019-09-09T00:20Z,Gillette Stadium,,,,NE,33,1-0,0.0,PIT,3,0-1,0.0,24,15,8,1,7-14,0-0,67,465,6.9,10,366,25/37,9.6,0,1-7,99,29,3.4,0-3,7-55,0,0,0,32:33,,,,,,,,,,,,
401128021,2019,1,2019-09-09T23:10Z,Caesars Superdome,,,,NO,30,1-0,0.0,HOU,28,0-1,0.0,25,19,6,0,7-11,0-0,65,510,7.8,10,362,32/43,8.2,1,1-8,148,21,7.0,2-4,7-48,1,0,0,30:13,,,,,,,,,,,,
401128025,2019,1,2019-09-10T02:20Z,Oakland Coliseum,,,,OAK,24,1-0,0.0,DEN,16,0-1,0.0,19,11,8,0,10-14,0-0,54,357,6.6,8,259,22/26,10.0,0,0-0,98,28,3.5,3-4,9-62,0,0,0,32:45,,,,,,,,,,,,
