game_id,season,week,game_date,venue_name,venue_indoor,venue_latitude,venue_longitude,home_team,home_score,home_record,home_win_percentage,away_team,away_score,away_record,away_win_percentage,away_firstdowns,away_firstdownspassing,away_firstdownsrushing,away_firstdownspenalty,away_thirddowneff,away_fourthdowneff,away_totaloffensiveplays,away_totalyards,away_yardsperplay,away_totaldrives,away_netpassingyards,away_completionattempts,away_yardsperpass,away_interceptions,away_sacksyardslost,away_rushingyards,away_rushingattempts,away_yardsperrushattempt,away_redzoneattempts,away_totalpenaltiesyards,away_turnovers,away_fumbleslost,away_defensivetouchdowns,away_possessiontime,spread,over_under,home_moneyline,away_moneyline,away_totalpointspergame,away_yardspergame,away_passingyardspergame,away_rushingyardspergame,away_totalpointspergameallowed,away_yardspergameallowed,away_passingyardspergameallowed,away_rushingyardspergameallowed,season_week,h2h_games,h2h_home_wins,h2h_away_wins,h2h_avg_point_diff,home_rest_days,away_rest_days,is_winter,is_warm_weather,weather_impact,point_differential,home_ppg,away_ppg,home_win,matchup_strength,home_last_game_score,home_momentum,home_form,away_last_game_score,away_momentum,away_form,home_division,away_division,is_division_game,is_conference_game,game_hour,is_primetime,is_afternoon,is_morning,is_weekend,home_win_pct,away_win_pct,win_pct_diff,is_favorite,season_home,week_home,team,score,is_home,rolling_score_recent,rolling_score_season,streak,season_away,week_away,team_away,score_away,is_home_away,rolling_score_recent_away,rolling_score_season_away,streak_away
0,2019,1,2019-09-06 00:20:00+00:00,Soldier Field,,,,CHI,3,0-1,0.0,GB,10,1-0,0.0,16.0,10.0,3.0,3.0,3-15,0-2,65.0,254.0,3.9,12.0,208.0,26/45,4.2,1.0,5-20,46.0,15.0,3.1,0-1,10-107,1.0,0.0,0.0,28:57,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,-7,3.0,10.0,0,6.5,,,,,,,NFC_NORTH,NFC_NORTH,True,True,0,False,False,True,False,0.0,0.0,0.0,False,2019,1,CHI,3,1,3.0,3.0,0.0,2019,1,GB,10,0,10.0,10.0,0.0
1,2019,1,2019-09-08 17:00:00+00:00,Huntington Bank Field,,,,CLE,13,0-1,0.0,TEN,43,1-0,0.0,19.0,13.0,4.0,2.0,1-10,0-2,63.0,346.0,5.5,14.0,244.0,25/38,5.7,3.0,5-41,102.0,20.0,5.1,2-2,18-182,3.0,0.0,0.0,30:42,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,-30,8.0,26.5,0,17.25,,,,,,,AFC_NORTH,AFC_SOUTH,False,True,17,False,True,False,True,0.0,0.0,0.0,False,2019,1,CLE,13,1,13.0,13.0,0.0,2019,1,TEN,43,0,43.0,43.0,0.0
2,2019,1,2019-09-08 17:00:00+00:00,Hard Rock Stadium,,,,MIA,10,0-1,0.0,BAL,59,1-0,0.0,12.0,10.0,1.0,1.0,3-10,0-0,47.0,200.0,4.3,10.0,179.0,15/32,5.1,2.0,3-11,21.0,12.0,1.8,1-1,9-64,3.0,1.0,0.0,19:53,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,-49,8.666666666666666,37.333333333333336,0,23.0,,,,,,,AFC_EAST,AFC_NORTH,False,True,17,False,True,False,True,0.0,0.0,0.0,False,2019,1,MIA,10,1,10.0,10.0,0.0,2019,1,BAL,59,0,59.0,59.0,0.0
3,2019,1,2019-09-08 17:00:00+00:00,U.S. Bank Stadium,,,,MIN,28,1-0,0.0,ATL,12,0-1,0.0,18.0,4.0,10.0,4.0,5-10,0-0,49.0,269.0,5.5,10.0,97.0,8/10,8.8,0.0,1-1,172.0,38.0,4.5,3-3,11-100,0.0,0.0,0.0,29:47,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,16,13.5,31.0,1,22.25,,,,,,,NFC_NORTH,NFC_SOUTH,False,True,17,False,True,False,True,0.0,0.0,0.0,False,2019,1,MIN,28,1,28.0,28.0,0.0,2019,1,ATL,12,0,12.0,12.0,0.0
4,2019,1,2019-09-08 17:00:00+00:00,MetLife Stadium,,,,NYJ,16,0-1,0.0,BUF,17,1-0,0.0,17.0,12.0,3.0,2.0,7-17,1-2,66.0,223.0,3.4,11.0,155.0,28/41,3.4,0.0,4-20,68.0,21.0,3.2,1-1,8-67,1.0,1.0,2.0,32:01,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,-1,14.0,28.2,0,21.1,,,,,,,AFC_EAST,AFC_EAST,True,True,17,False,True,False,True,0.0,0.0,0.0,False,2019,1,NYJ,16,1,16.0,16.0,0.0,2019,1,BUF,17,0,17.0,17.0,0.0
5,2019,1,2019-09-08 17:00:00+00:00,Lincoln Financial Field,,,,PHI,32,1-0,0.0,WSH,27,0-1,0.0,22.0,13.0,9.0,0.0,11-17,1-2,71.0,436.0,6.1,10.0,313.0,28/39,7.8,0.0,1-0,123.0,31.0,4.0,2-3,6-55,0.0,0.0,0.0,34:27,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,5,19.8,31.6,1,25.700000000000003,,,,,,,NFC_EAST,,False,False,17,False,True,False,True,0.0,0.0,0.0,False,2019,1,PHI,32,1,32.0,32.0,0.0,2019,1,WSH,27,0,27.0,27.0,0.0
6,2019,1,2019-09-08 17:00:00+00:00,Bank of America Stadium,,,,CAR,27,0-1,0.0,LAR,30,1-0,0.0,21.0,13.0,8.0,0.0,5-11,0-0,64.0,343.0,5.4,13.0,216.0,25/38,5.3,1.0,3-23,127.0,23.0,5.5,3-3,6-46,3.0,2.0,0.0,26:44,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,-3,22.6,29.0,0,25.8,,,,,,,NFC_SOUTH,NFC_WEST,False,True,17,False,True,False,True,0.0,0.0,0.0,False,2019,1,CAR,27,1,27.0,27.0,0.0,2019,1,LAR,30,0,30.0,30.0,0.0
7,2019,1,2019-09-08 17:00:00+00:00,EverBank Stadium,,,,JAX,26,0-1,0.0,KC,40,1-0,0.0,18.0,13.0,3.0,2.0,5-10,0-0,50.0,428.0,8.6,10.0,347.0,27/33,10.2,1.0,1-3,81.0,16.0,5.1,1-3,10-71,2.0,1.0,0.0,28:45,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,-14,25.8,25.2,0,25.5,,,,,,,AFC_SOUTH,AFC_WEST,False,True,17,False,True,False,True,0.0,0.0,0.0,False,2019,1,JAX,26,1,26.0,26.0,0.0,2019,1,KC,40,0,40.0,40.0,0.0
8,2019,1,2019-09-08 20:05:00+00:00,Dignity Health Sports Park,,,,LAC,30,1-0,0.0,IND,24,0-1,0.0,25.0,14.0,9.0,2.0,7-11,0-0,59.0,435.0,7.4,9.0,310.0,25/34,8.2,1.0,4-23,125.0,21.0,6.0,2-3,3-20,2.0,1.0,0.0,32:50,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,6,26.2,27.6,1,26.9,,,,,,,AFC_WEST,AFC_SOUTH,False,True,20,True,False,False,True,0.0,0.0,0.0,False,2019,1,LAC,30,1,30.0,30.0,0.0,2019,1,IND,24,0,24.0,24.0,0.0
9,2019,1,2019-09-08 20:05:00+00:00,Lumen Field,,,,SEA,21,1-0,0.0,CIN,20,0-1,0.0,12.0,6.0,4.0,2.0,4-12,0-0,49.0,232.0,4.7,14.0,160.0,14/20,6.7,0.0,4-35,72.0,25.0,2.9,2-2,8-55,1.0,1.0,0.0,24:10,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,1,27.2,28.2,1,27.7,,,,,,,NFC_WEST,AFC_NORTH,False,False,20,True,False,False,True,0.0,0.0,0.0,False,2019,1,SEA,21,1,21.0,21.0,0.0,2019,1,CIN,20,0,20.0,20.0,0.0
