game_date,home_team,away_team,home_score,away_score,stadium,total_yards,rush_attempts,pass_attempts,completions,first_downs,third_down_attempts,third_down_conv,fourth_down_attempts,fourth_down_conv,turnovers,penalty_yards,season,week,home_win,away_win,tie,home_total_yards,away_total_yards,home_rush_attempts,away_rush_attempts,home_pass_attempts,away_pass_attempts,home_completions,away_completions,home_first_downs,away_first_downs,home_third_down_attempts,away_third_down_attempts,home_third_down_conv,away_third_down_conv,home_fourth_down_attempts,away_fourth_down_attempts,home_fourth_down_conv,away_fourth_down_conv,home_turnovers,away_turnovers,home_penalty_yards,away_penalty_yards,home_completion_pct,away_completion_pct,home_third_down_pct,away_third_down_pct,home_fourth_down_pct,away_fourth_down_pct,home_yards_per_play,away_yards_per_play,game_id,h2h_games,h2h_home_wins,h2h_away_wins,h2h_avg_point_diff,home_team_opponent,away_team_opponent,home_score_opponent,away_score_opponent,stadium_opponent,total_yards_opponent,rush_attempts_opponent,pass_attempts_opponent,completions_opponent,first_downs_opponent,third_down_attempts_opponent,third_down_conv_opponent,fourth_down_attempts_opponent,fourth_down_conv_opponent,turnovers_opponent,penalty_yards_opponent,home_win_opponent,away_win_opponent,tie_opponent,home_total_yards_opponent,away_total_yards_opponent,home_rush_attempts_opponent,away_rush_attempts_opponent,home_pass_attempts_opponent,away_pass_attempts_opponent,home_completions_opponent,away_completions_opponent,home_first_downs_opponent,away_first_downs_opponent,home_third_down_attempts_opponent,away_third_down_attempts_opponent,home_third_down_conv_opponent,away_third_down_conv_opponent,home_fourth_down_attempts_opponent,away_fourth_down_attempts_opponent,home_fourth_down_conv_opponent,away_fourth_down_conv_opponent,home_turnovers_opponent,away_turnovers_opponent,home_penalty_yards_opponent,away_penalty_yards_opponent,home_completion_pct_opponent,away_completion_pct_opponent,home_third_down_pct_opponent,away_third_down_pct_opponent,home_fourth_down_pct_opponent,away_fourth_down_pct_opponent,home_yards_per_play_opponent,away_yards_per_play_opponent,home_total_yards_rolling,away_total_yards_rolling,home_rush_attempts_rolling,away_rush_attempts_rolling,home_pass_attempts_rolling,away_pass_attempts_rolling,home_completions_rolling,away_completions_rolling,home_first_downs_rolling,away_first_downs_rolling,home_third_down_attempts_rolling,away_third_down_attempts_rolling,home_third_down_conv_rolling,away_third_down_conv_rolling,home_fourth_down_attempts_rolling,away_fourth_down_attempts_rolling,home_fourth_down_conv_rolling,away_fourth_down_conv_rolling,home_turnovers_rolling,away_turnovers_rolling,home_penalty_yards_rolling,away_penalty_yards_rolling,home_completion_pct_rolling,away_completion_pct_rolling,home_third_down_pct_rolling,away_third_down_pct_rolling,home_fourth_down_pct_rolling,away_fourth_down_pct_rolling,home_yards_per_play_rolling,away_yards_per_play_rolling,home_streak,away_streak,weather_impact,home_total_plays,away_total_plays,home_epa_per_play,away_epa_per_play,home_success_rate,away_success_rate,home_explosive_rate,away_explosive_rate,home_last3_wins,away_last3_wins,home_last3_win_pct,away_last3_win_pct,home_last3_points,away_last3_points,home_last3_points_allowed,away_last3_points_allowed,home_last5_wins,away_last5_wins,home_last5_win_pct,away_last5_win_pct,home_last5_points,away_last5_points,home_last5_points_allowed,away_last5_points_allowed,home_point_diff_momentum,away_point_diff_momentum,home_win_pct_season,away_win_pct_season,point_differential,abs_point_differential,late_season,must_win_home,must_win_away,close_game,one_score_game,two_score_game,home_pass_efficiency,away_pass_efficiency,home_yards_per_pass,away_yards_per_pass,home_yards_per_rush,away_yards_per_rush,home_pass_ratio,away_pass_ratio,home_third_down_efficiency,away_third_down_efficiency,home_fourth_down_efficiency,away_fourth_down_efficiency,home_division,away_division,division_game,home_div_record,away_div_record,game_hour,is_primetime,is_afternoon,is_early,is_sunday,is_monday,is_thursday,home_primetime_record,away_primetime_record,home_season_wins,home_season_games,home_season_winpct,home_points_scored,home_point_diff,away_season_wins,away_season_games,away_season_winpct,away_points_scored,away_point_diff,win_pct_diff,point_diff_advantage,scoring_diff,home_season_winpct_rank,away_season_winpct_rank,home_points_scored_rank,away_points_scored_rank,home_point_diff_rank,away_point_diff_rank
2019-09-05,CHI,GB,3.0,10.0,Soldier Field,467.0,37.0,85.0,44.0,28.0,27.0,5.0,2.0,0.0,2.0,178.0,2019,1,0,1,0,467.0,467.0,37.0,37.0,85.0,85.0,44.0,44.0,28.0,28.0,27.0,27.0,5.0,5.0,2.0,2.0,0.0,0.0,2.0,2.0,178.0,178.0,0.5176470588235295,0.5176470588235295,0.18518518518518517,0.18518518518518517,0.0,0.0,3.8278688524590163,3.8278688524590163,0,0,0,0,0.0,CHI,GB,3.0,10.0,Soldier Field,467.0,37.0,85.0,44.0,28.0,27.0,5.0,2.0,0.0,2.0,178.0,0,1,0,467.0,467.0,37.0,37.0,85.0,85.0,44.0,44.0,28.0,28.0,27.0,27.0,5.0,5.0,2.0,2.0,0.0,0.0,2.0,2.0,178.0,178.0,0.5176470588235295,0.5176470588235295,0.18518518518518517,0.18518518518518517,0.0,0.0,3.8278688524590163,3.8278688524590163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,122.0,122.0,3.0901639344262297,3.0901639344262297,0.22950819672131148,0.22950819672131148,0.19139344262295083,0.19139344262295083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,7.0,False,False,False,True,True,True,0.5176470588235295,0.5176470588235295,5.4941176470588236,5.4941176470588236,12.621621621621621,12.621621621621621,0.6967213114754098,0.6967213114754098,0.18518518518518517,0.18518518518518517,0.0,0.0,NFC_NORTH,NFC_NORTH,True,0.6666666666666666,0.5,0,False,False,True,False,False,True,,,0.0,1,0.0,3.0,-7.0,0.0,1,0.0,10.0,7.0,0.0,-14.0,-7.0,1,1,1,1,2,7
2019-09-08,CAR,LA,27.0,30.0,Bank of America Stadium,692.0,55.0,81.0,48.0,43.0,28.0,14.0,0.0,0.0,5.0,89.0,2019,2,0,1,0,692.0,692.0,55.0,55.0,81.0,81.0,48.0,48.0,43.0,43.0,28.0,28.0,14.0,14.0,0.0,0.0,0.0,0.0,5.0,5.0,89.0,89.0,0.5925925925925926,0.5925925925925926,0.5,0.5,0.0,0.0,5.088235294117647,5.088235294117647,1,0,0,0,0.0,CAR,LA,27.0,30.0,Bank of America Stadium,692.0,55.0,81.0,48.0,43.0,28.0,14.0,0.0,0.0,5.0,89.0,0,1,0,692.0,692.0,55.0,55.0,81.0,81.0,48.0,48.0,43.0,43.0,28.0,28.0,14.0,14.0,0.0,0.0,0.0,0.0,5.0,5.0,89.0,89.0,0.5925925925925926,0.5925925925925926,0.5,0.5,0.0,0.0,5.088235294117647,5.088235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,136.0,136.0,3.4338235294117645,3.4338235294117645,0.3161764705882353,0.3161764705882353,0.25441176470588234,0.25441176470588234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,3.0,False,False,False,True,True,True,0.5925925925925926,0.5925925925925926,8.54320987654321,8.54320987654321,12.581818181818182,12.581818181818182,0.5955882352941176,0.5955882352941176,0.5,0.5,0.0,0.0,NFC_SOUTH,NFC_EAST,False,0.5,1.0,0,False,False,True,True,False,False,,,0.0,1,0.0,27.0,-3.0,0.0,1,0.0,30.0,3.0,0.0,-6.0,-3.0,1,1,7,7,3,6
2019-09-08,CLE,TEN,13.0,43.0,FirstEnergy Stadium,685.0,48.0,71.0,39.0,38.0,20.0,3.0,2.0,0.0,3.0,236.0,2019,3,0,1,0,685.0,685.0,48.0,48.0,71.0,71.0,39.0,39.0,38.0,38.0,20.0,20.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,3.0,236.0,236.0,0.5492957746478874,0.5492957746478874,0.15,0.15,0.0,0.0,5.756302521008403,5.756302521008403,2,0,0,0,0.0,CLE,TEN,13.0,43.0,FirstEnergy Stadium,685.0,48.0,71.0,39.0,38.0,20.0,3.0,2.0,0.0,3.0,236.0,0,1,0,685.0,685.0,48.0,48.0,71.0,71.0,39.0,39.0,38.0,38.0,20.0,20.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,3.0,236.0,236.0,0.5492957746478874,0.5492957746478874,0.15,0.15,0.0,0.0,5.756302521008403,5.756302521008403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,119.0,119.0,4.621848739495798,4.621848739495798,0.31932773109243695,0.31932773109243695,0.28781512605042014,0.28781512605042014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-30.0,30.0,False,False,False,False,False,False,0.5492957746478874,0.5492957746478874,9.647887323943662,9.647887323943662,14.270833333333334,14.270833333333334,0.5966386554621849,0.5966386554621849,0.15,0.15,0.0,0.0,AFC_NORTH,AFC_SOUTH,False,0.5,1.0,0,False,False,True,True,False,False,,,0.0,1,0.0,13.0,-30.0,0.0,1,0.0,43.0,30.0,0.0,-60.0,-30.0,1,1,1,8,1,8
2019-09-08,JAX,KC,26.0,40.0,TIAA Bank Stadium,919.0,42.0,69.0,52.0,41.0,20.0,10.0,0.0,0.0,2.0,126.0,2019,4,0,1,0,919.0,919.0,42.0,42.0,69.0,69.0,52.0,52.0,41.0,41.0,20.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,126.0,126.0,0.7536231884057971,0.7536231884057971,0.5,0.5,0.0,0.0,8.27927927927928,8.27927927927928,3,0,0,0,0.0,JAX,KC,26.0,40.0,TIAA Bank Stadium,919.0,42.0,69.0,52.0,41.0,20.0,10.0,0.0,0.0,2.0,126.0,0,1,0,919.0,919.0,42.0,42.0,69.0,69.0,52.0,52.0,41.0,41.0,20.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,126.0,126.0,0.7536231884057971,0.7536231884057971,0.5,0.5,0.0,0.0,8.27927927927928,8.27927927927928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,111.0,111.0,7.468468468468468,7.468468468468468,0.36936936936936937,0.36936936936936937,0.41396396396396395,0.41396396396396395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-14.0,14.0,False,False,False,False,False,True,0.7536231884057971,0.7536231884057971,13.318840579710145,13.318840579710145,21.88095238095238,21.88095238095238,0.6216216216216216,0.6216216216216216,0.5,0.5,0.0,0.0,AFC_SOUTH,AFC_WEST,False,0.5,0.6666666666666667,0,False,False,True,True,False,False,,,0.0,1,0.0,26.0,-14.0,0.0,1,0.0,40.0,14.0,0.0,-28.0,-14.0,1,1,6,8,1,8
2019-09-08,MIA,BAL,10.0,59.0,Hard Rock Stadium,843.0,58.0,62.0,38.0,42.0,21.0,10.0,2.0,2.0,3.0,104.0,2019,5,0,1,0,843.0,843.0,58.0,58.0,62.0,62.0,38.0,38.0,42.0,42.0,21.0,21.0,10.0,10.0,2.0,2.0,2.0,2.0,3.0,3.0,104.0,104.0,0.6129032258064516,0.6129032258064516,0.47619047619047616,0.47619047619047616,1.0,1.0,7.025,7.025,4,0,0,0,0.0,MIA,BAL,10.0,59.0,Hard Rock Stadium,843.0,58.0,62.0,38.0,42.0,21.0,10.0,2.0,2.0,3.0,104.0,0,1,0,843.0,843.0,58.0,58.0,62.0,62.0,38.0,38.0,42.0,42.0,21.0,21.0,10.0,10.0,2.0,2.0,2.0,2.0,3.0,3.0,104.0,104.0,0.6129032258064516,0.6129032258064516,0.47619047619047616,0.47619047619047616,1.0,1.0,7.025,7.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,120.0,120.0,5.9,5.9,0.35,0.35,0.35125,0.35125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-49.0,49.0,False,False,False,False,False,False,0.6129032258064516,0.6129032258064516,13.596774193548388,13.596774193548388,14.53448275862069,14.53448275862069,0.5166666666666667,0.5166666666666667,0.47619047619047616,0.47619047619047616,1.0,1.0,AFC_EAST,AFC_NORTH,False,0.5,0.33333333333333337,0,False,False,True,True,False,False,,,0.0,1,0.0,10.0,-49.0,0.0,1,0.0,59.0,49.0,0.0,-98.0,-49.0,1,1,1,8,1,8
2019-09-08,MIN,ATL,28.0,12.0,U.S. Bank Stadium,614.0,55.0,63.0,41.0,44.0,18.0,7.0,2.0,2.0,5.0,178.0,2019,6,1,0,0,614.0,614.0,55.0,55.0,63.0,63.0,41.0,41.0,44.0,44.0,18.0,18.0,7.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,178.0,178.0,0.6507936507936508,0.6507936507936508,0.3888888888888889,0.3888888888888889,1.0,1.0,5.203389830508475,5.203389830508475,5,0,0,0,0.0,MIN,ATL,28.0,12.0,U.S. Bank Stadium,614.0,55.0,63.0,41.0,44.0,18.0,7.0,2.0,2.0,5.0,178.0,1,0,0,614.0,614.0,55.0,55.0,63.0,63.0,41.0,41.0,44.0,44.0,18.0,18.0,7.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,178.0,178.0,0.6507936507936508,0.6507936507936508,0.3888888888888889,0.3888888888888889,1.0,1.0,5.203389830508475,5.203389830508475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,118.0,118.0,3.2966101694915255,3.2966101694915255,0.3728813559322034,0.3728813559322034,0.26016949152542374,0.26016949152542374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,16.0,False,False,False,False,False,False,0.6507936507936508,0.6507936507936508,9.746031746031745,9.746031746031745,11.163636363636364,11.163636363636364,0.5338983050847458,0.5338983050847458,0.3888888888888889,0.3888888888888889,1.0,1.0,NFC_NORTH,NFC_SOUTH,False,0.5,0.6666666666666667,0,False,False,True,True,False,False,,,1.0,1,1.0,28.0,16.0,1.0,1,1.0,12.0,-16.0,0.0,32.0,16.0,6,6,7,1,8,1
2019-09-08,NYJ,BUF,16.0,17.0,MetLife Stadium,595.0,46.0,84.0,52.0,39.0,27.0,12.0,3.0,1.0,6.0,122.0,2019,7,0,1,0,595.0,595.0,46.0,46.0,84.0,84.0,52.0,52.0,39.0,39.0,27.0,27.0,12.0,12.0,3.0,3.0,1.0,1.0,6.0,6.0,122.0,122.0,0.6190476190476191,0.6190476190476191,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,4.576923076923077,4.576923076923077,6,0,0,0,0.0,NYJ,BUF,16.0,17.0,MetLife Stadium,595.0,46.0,84.0,52.0,39.0,27.0,12.0,3.0,1.0,6.0,122.0,0,1,0,595.0,595.0,46.0,46.0,84.0,84.0,52.0,52.0,39.0,39.0,27.0,27.0,12.0,12.0,3.0,3.0,1.0,1.0,6.0,6.0,122.0,122.0,0.6190476190476191,0.6190476190476191,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,4.576923076923077,4.576923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,130.0,130.0,2.5,2.5,0.3,0.3,0.22884615384615384,0.22884615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,False,False,False,True,True,True,0.6190476190476191,0.6190476190476191,7.083333333333333,7.083333333333333,12.934782608695652,12.934782608695652,0.6461538461538462,0.6461538461538462,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,AFC_EAST,AFC_EAST,True,0.3333333333333333,0.0,0,False,False,True,True,False,False,,,0.0,1,0.0,16.0,-1.0,0.0,1,0.0,17.0,1.0,0.0,-2.0,-1.0,1,1,2,2,4,5
2019-09-08,PHI,WAS,32.0,27.0,Lincoln Financial Field,836.0,45.0,85.0,58.0,37.0,30.0,16.0,4.0,3.0,0.0,151.0,2019,8,1,0,0,836.0,836.0,45.0,45.0,85.0,85.0,58.0,58.0,37.0,37.0,30.0,30.0,16.0,16.0,4.0,4.0,3.0,3.0,0.0,0.0,151.0,151.0,0.6823529411764706,0.6823529411764706,0.5333333333333333,0.5333333333333333,0.75,0.75,6.430769230769231,6.430769230769231,7,0,0,0,0.0,PHI,WAS,32.0,27.0,Lincoln Financial Field,836.0,45.0,85.0,58.0,37.0,30.0,16.0,4.0,3.0,0.0,151.0,1,0,0,836.0,836.0,45.0,45.0,85.0,85.0,58.0,58.0,37.0,37.0,30.0,30.0,16.0,16.0,4.0,4.0,3.0,3.0,0.0,0.0,151.0,151.0,0.6823529411764706,0.6823529411764706,0.5333333333333333,0.5333333333333333,0.75,0.75,6.430769230769231,6.430769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,130.0,130.0,6.430769230769231,6.430769230769231,0.2846153846153846,0.2846153846153846,0.32153846153846155,0.32153846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,False,False,False,True,True,True,0.6823529411764706,0.6823529411764706,9.83529411764706,9.83529411764706,18.57777777777778,18.57777777777778,0.6538461538461539,0.6538461538461539,0.5333333333333333,0.5333333333333333,0.75,0.75,NFC_EAST,NFC_EAST,True,1.0,0.33333333333333337,0,False,False,True,True,False,False,,,1.0,1,1.0,32.0,5.0,1.0,1,1.0,27.0,-5.0,0.0,10.0,5.0,6,6,8,7,7,3
2019-09-08,LAC,IND,30.0,24.0,StubHub Center,813.0,55.0,67.0,46.0,47.0,24.0,14.0,1.0,1.0,4.0,30.0,2019,9,1,0,0,813.0,813.0,55.0,55.0,67.0,67.0,46.0,46.0,47.0,47.0,24.0,24.0,14.0,14.0,1.0,1.0,1.0,1.0,4.0,4.0,30.0,30.0,0.6865671641791045,0.6865671641791045,0.5833333333333334,0.5833333333333334,1.0,1.0,6.663934426229508,6.663934426229508,8,0,0,0,0.0,LAC,IND,30.0,24.0,StubHub Center,813.0,55.0,67.0,46.0,47.0,24.0,14.0,1.0,1.0,4.0,30.0,1,0,0,813.0,813.0,55.0,55.0,67.0,67.0,46.0,46.0,47.0,47.0,24.0,24.0,14.0,14.0,1.0,1.0,1.0,1.0,4.0,4.0,30.0,30.0,0.6865671641791045,0.6865671641791045,0.5833333333333334,0.5833333333333334,1.0,1.0,6.663934426229508,6.663934426229508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,122.0,122.0,5.188524590163935,5.188524590163935,0.38524590163934425,0.38524590163934425,0.3331967213114754,0.3331967213114754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,False,False,False,True,True,True,0.6865671641791045,0.6865671641791045,12.134328358208956,12.134328358208956,14.781818181818181,14.781818181818181,0.5491803278688525,0.5491803278688525,0.5833333333333334,0.5833333333333334,1.0,1.0,AFC_WEST,AFC_SOUTH,False,0.5,0.6666666666666667,0,False,False,True,True,False,False,,,1.0,1,1.0,30.0,6.0,1.0,1,1.0,24.0,-6.0,0.0,12.0,6.0,6,6,8,5,7,2
2019-09-08,SEA,CIN,21.0,20.0,CenturyLink Field,661.0,39.0,80.0,49.0,34.0,27.0,10.0,1.0,0.0,5.0,112.0,2019,10,1,0,0,661.0,661.0,39.0,39.0,80.0,80.0,49.0,49.0,34.0,34.0,27.0,27.0,10.0,10.0,1.0,1.0,0.0,0.0,5.0,5.0,112.0,112.0,0.6125,0.6125,0.37037037037037035,0.37037037037037035,0.0,0.0,5.554621848739496,5.554621848739496,9,0,0,0,0.0,SEA,CIN,21.0,20.0,CenturyLink Field,661.0,39.0,80.0,49.0,34.0,27.0,10.0,1.0,0.0,5.0,112.0,1,0,0,661.0,661.0,39.0,39.0,80.0,80.0,49.0,49.0,34.0,34.0,27.0,27.0,10.0,10.0,1.0,1.0,0.0,0.0,5.0,5.0,112.0,112.0,0.6125,0.6125,0.37037037037037035,0.37037037037037035,0.0,0.0,5.554621848739496,5.554621848739496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,True,119.0,119.0,3.6638655462184873,3.6638655462184873,0.2857142857142857,0.2857142857142857,0.2777310924369748,0.2777310924369748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,False,False,False,True,True,True,0.6125,0.6125,8.2625,8.2625,16.94871794871795,16.94871794871795,0.6722689075630253,0.6722689075630253,0.37037037037037035,0.37037037037037035,0.0,0.0,NFC_WEST,AFC_NORTH,False,0.5,0.5,0,False,False,True,True,False,False,,,1.0,1,1.0,21.0,1.0,1.0,1,1.0,20.0,-1.0,0.0,2.0,1.0,6,6,4,3,5,4
