team,season,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,rushing_fumbles_lost,receiving_yards,receiving_tds,games,total_yards_per_game,points_per_game,turnover_ratio
ARI,2018,2884.0,15,18.0,1357.0,9,2.0,2884.0,15,16,265.0625,14.625,-1.25
ARI,2019,3827.0,20,12.0,2131.0,18,3.0,4013.0,20,16,372.375,21.75,-0.9375
ARI,2020,4102.0,27,13.0,2237.0,22,1.0,4099.0,26,16,396.1875,28.125,-0.875
ARI,2021,4583.0,27,11.0,2070.0,23,0.0,4801.0,29,17,391.3529411764706,27.88235294117647,-0.6470588235294118
ARI,2022,3966.0,17,17.0,1574.0,13,4.0,3967.0,18,13,426.15384615384613,22.153846153846153,-1.6153846153846154
ARI,2023,1861.0,10,7.0,2141.0,16,0.0,3306.0,17,17,235.41176470588235,15.176470588235293,-0.4117647058823529
ATL,2018,4949.0,36,7.0,1573.0,11,1.0,4949.0,36,16,407.625,31.125,-0.5
ATL,2019,5049.0,29,15.0,1358.0,10,2.0,4736.0,28,15,427.1333333333333,26.8,-1.1333333333333333
ATL,2020,4620.0,27,11.0,1532.0,13,3.0,4620.0,27,16,384.5,25.125,-0.875
ATL,2021,3987.0,20,15.0,1347.0,11,3.0,3966.0,20,17,313.7647058823529,18.0,-1.0588235294117647
ATL,2022,2927.0,17,9.0,2718.0,17,4.0,2912.0,17,17,332.05882352941177,18.0,-0.7647058823529411
ATL,2023,3775.0,17,17.0,2163.0,14,4.0,3883.0,17,17,349.29411764705884,16.941176470588236,-1.2352941176470589
BAL,2018,3708.0,18,9.0,2541.0,20,6.0,3913.0,18,16,390.5625,21.0,-0.9375
BAL,2019,3350.0,37,8.0,3320.0,21,5.0,3365.0,37,16,416.875,35.625,-0.8125
BAL,2020,2919.0,27,11.0,3071.0,24,5.0,2907.0,27,16,374.375,29.25,-1.0
BAL,2021,4637.0,24,19.0,2427.0,16,2.0,4268.0,21,17,415.52941176470586,21.529411764705884,-1.2352941176470589
BAL,2022,3202.0,19,13.0,2720.0,14,3.0,3467.0,19,16,370.125,19.5,-1.0
BAL,2023,3881.0,27,7.0,2875.0,26,7.0,3928.0,27,17,397.4117647058824,28.235294117647058,-0.8235294117647058
BUF,2018,2756.0,13,16.0,1934.0,14,1.0,2910.0,14,16,293.125,15.375,-1.0625
BUF,2019,3476.0,21,12.0,2054.0,13,4.0,3407.0,21,16,345.625,20.625,-1.0
BUF,2020,4786.0,40,11.0,1895.0,17,5.0,4966.0,40,16,417.5625,36.375,-1.0
BUF,2021,4450.0,36,16.0,2205.0,20,3.0,4450.0,36,17,391.47058823529414,32.470588235294116,-1.1176470588235294
BUF,2022,4291.0,35,14.0,2177.0,16,6.0,4452.0,35,16,404.25,32.25,-1.25
BUF,2023,4306.0,29,18.0,2212.0,22,3.0,4306.0,29,17,383.4117647058824,28.235294117647058,-1.2352941176470589
CAR,2018,4071.0,28,16.0,2103.0,17,2.0,4047.0,27,16,385.875,27.0,-1.125
CAR,2019,4134.0,17,21.0,1844.0,20,4.0,4209.0,17,16,373.625,20.25,-1.5625
CAR,2020,4129.0,16,16.0,1704.0,19,2.0,4098.0,16,16,364.5625,19.125,-1.125
CAR,2021,3573.0,14,21.0,1795.0,17,5.0,3475.0,14,17,315.7647058823529,15.882352941176471,-1.5294117647058822
CAR,2022,1874.0,10,6.0,1765.0,13,1.0,2763.0,14,17,214.05882352941177,13.058823529411764,-0.4117647058823529
CAR,2023,3245.0,13,10.0,1792.0,7,3.0,3285.0,13,17,296.29411764705884,11.647058823529411,-0.7647058823529411
CHI,2018,3747.0,28,14.0,1938.0,16,4.0,3747.0,28,16,355.3125,27.0,-1.125
CHI,2019,3573.0,20,12.0,1433.0,8,3.0,3551.0,20,16,312.875,18.0,-0.9375
CHI,2020,3925.0,26,16.0,1647.0,12,0.0,3927.0,26,16,348.25,24.0,-1.0
CHI,2021,3635.0,16,20.0,2018.0,14,2.0,3628.0,16,17,332.52941176470586,16.235294117647058,-1.2941176470588236
