date,home_team,away_team,home_score,away_score,stadium,total_yards,rush_attempts,pass_attempts,completions,first_downs,third_down_attempts,third_down_conv,fourth_down_attempts,fourth_down_conv,turnovers,penalty_yards
2019-09-05,CHI,GB,3.0,10.0,Soldier Field,467.0,37.0,85.0,44.0,28.0,27.0,5.0,2.0,0.0,2.0,178.0
2019-09-08,CAR,LA,27.0,30.0,Bank of America Stadium,692.0,55.0,81.0,48.0,43.0,28.0,14.0,0.0,0.0,5.0,89.0
2019-09-08,CLE,TEN,13.0,43.0,FirstEnergy Stadium,685.0,48.0,71.0,39.0,38.0,20.0,3.0,2.0,0.0,3.0,236.0
2019-09-08,JAX,KC,26.0,40.0,TIAA Bank Stadium,919.0,42.0,69.0,52.0,41.0,20.0,10.0,0.0,0.0,2.0,126.0
2019-09-08,MIA,BAL,10.0,59.0,Hard Rock Stadium,843.0,58.0,62.0,38.0,42.0,21.0,10.0,2.0,2.0,3.0,104.0
2019-09-08,MIN,ATL,28.0,12.0,U.S. Bank Stadium,614.0,55.0,63.0,41.0,44.0,18.0,7.0,2.0,2.0,5.0,178.0
2019-09-08,NYJ,BUF,16.0,17.0,MetLife Stadium,595.0,46.0,84.0,52.0,39.0,27.0,12.0,3.0,1.0,6.0,122.0
2019-09-08,PHI,WAS,32.0,27.0,Lincoln Financial Field,836.0,45.0,85.0,58.0,37.0,30.0,16.0,4.0,3.0,0.0,151.0
2019-09-08,LAC,IND,30.0,24.0,StubHub Center,813.0,55.0,67.0,46.0,47.0,24.0,14.0,1.0,1.0,4.0,30.0
2019-09-08,SEA,CIN,21.0,20.0,CenturyLink Field,661.0,39.0,80.0,49.0,34.0,27.0,10.0,1.0,0.0,5.0,112.0
2019-09-08,ARI,DET,27.0,27.0,State Farm Stadium,866.0,55.0,108.0,56.0,44.0,40.0,15.0,1.0,0.0,4.0,94.0
2019-09-08,DAL,NYG,35.0,17.0,AT&T Stadium,964.0,47.0,81.0,58.0,48.0,21.0,8.0,3.0,1.0,3.0,117.0
2019-09-08,TB,SF,17.0,31.0,Raymond James Stadium,553.0,58.0,68.0,38.0,36.0,24.0,10.0,2.0,0.0,8.0,174.0
2019-09-08,NE,PIT,33.0,3.0,Gillette Stadium,773.0,42.0,86.0,52.0,39.0,26.0,10.0,3.0,1.0,3.0,109.0
2019-09-09,NO,HOU,30.0,28.0,Mercedes-Benz Superdome,924.0,44.0,80.0,52.0,47.0,24.0,14.0,1.0,1.0,3.0,117.0
2019-09-09,OAK,DEN,24.0,16.0,Ring Central Coliseum,,,,,,,,,,,
2019-09-12,CAR,TB,14.0,20.0,Bank of America Stadium,641.0,50.0,82.0,41.0,36.0,26.0,5.0,3.0,0.0,4.0,116.0
2019-09-15,BAL,ARI,23.0,17.0,M&T Bank Stadium,791.0,44.0,83.0,49.0,41.0,25.0,9.0,2.0,1.0,3.0,132.0
2019-09-15,CIN,SF,17.0,41.0,Paul Brown Stadium,887.0,61.0,72.0,44.0,41.0,27.0,14.0,2.0,1.0,3.0,135.0
2019-09-15,DET,LAC,13.0,10.0,Ford Field,763.0,53.0,67.0,43.0,40.0,23.0,10.0,1.0,1.0,4.0,141.0
2019-09-15,GB,MIN,21.0,16.0,Lambeau Field,756.0,60.0,69.0,36.0,35.0,28.0,9.0,1.0,0.0,9.0,135.0
2019-09-15,HOU,JAX,13.0,12.0,NRG Stadium,544.0,52.0,70.0,39.0,31.0,28.0,9.0,3.0,3.0,5.0,117.0
2019-09-15,MIA,NE,0.0,43.0,Hard Rock Stadium,563.0,50.0,76.0,38.0,38.0,26.0,8.0,4.0,2.0,5.0,76.0
2019-09-15,NYG,BUF,14.0,28.0,MetLife Stadium,758.0,54.0,79.0,45.0,45.0,25.0,8.0,2.0,1.0,3.0,105.0
2019-09-15,PIT,SEA,26.0,28.0,Heinz Field,686.0,49.0,75.0,49.0,42.0,24.0,8.0,1.0,1.0,4.0,171.0
2019-09-15,TEN,IND,17.0,19.0,Nissan Stadium,531.0,58.0,63.0,36.0,39.0,24.0,8.0,2.0,1.0,4.0,140.0
2019-09-15,WAS,DAL,21.0,31.0,FedExField,729.0,51.0,69.0,52.0,43.0,20.0,9.0,3.0,2.0,1.0,111.0
2019-09-15,OAK,KC,10.0,28.0,Ring Central Coliseum,,,,,,,,,,,
2019-09-15,DEN,CHI,14.0,16.0,Empower Field at Mile High,647.0,53.0,80.0,51.0,45.0,25.0,6.0,4.0,4.0,1.0,146.0
2019-09-15,LA,NO,27.0,9.0,Los Angeles Memorial Coliseum,624.0,50.0,68.0,39.0,35.0,26.0,9.0,1.0,0.0,3.0,152.0
2019-09-15,ATL,PHI,24.0,20.0,Mercedes-Benz Stadium,655.0,39.0,96.0,55.0,37.0,28.0,12.0,4.0,3.0,7.0,118.0
2019-09-16,NYJ,CLE,3.0,23.0,MetLife Stadium,637.0,45.0,73.0,42.0,29.0,27.0,6.0,2.0,0.0,2.0,174.0
2019-09-19,JAX,TEN,20.0,7.0,TIAA Bank Stadium,632.0,46.0,79.0,43.0,33.0,28.0,10.0,2.0,0.0,3.0,131.0
2019-09-22,BUF,CIN,21.0,17.0,New Era Field,724.0,55.0,76.0,43.0,41.0,24.0,8.0,0.0,0.0,8.0,109.0
2019-09-22,DAL,MIA,31.0,6.0,AT&T Stadium,759.0,58.0,77.0,39.0,44.0,25.0,8.0,3.0,1.0,4.0,135.0
2019-09-22,GB,DEN,27.0,16.0,Lambeau Field,622.0,61.0,64.0,37.0,35.0,24.0,10.0,2.0,1.0,3.0,80.0
2019-09-22,IND,ATL,27.0,24.0,Lucas Oil Stadium,776.0,44.0,72.0,57.0,52.0,18.0,13.0,0.0,0.0,1.0,167.0
2019-09-22,KC,BAL,33.0,28.0,Arrowhead Stadium,955.0,59.0,85.0,49.0,55.0,22.0,10.0,5.0,3.0,2.0,91.0
2019-09-22,MIN,OAK,34.0,14.0,U.S. Bank Stadium,,,,,,,,,,,
2019-09-22,NE,NYJ,30.0,14.0,Gillette Stadium,486.0,47.0,73.0,42.0,27.0,27.0,6.0,1.0,0.0,3.0,137.0
2019-09-22,PHI,DET,24.0,27.0,Lincoln Financial Field,660.0,58.0,71.0,37.0,38.0,27.0,13.0,2.0,0.0,3.0,91.0
2019-09-22,ARI,CAR,20.0,38.0,State Farm Stadium,661.0,53.0,79.0,49.0,42.0,27.0,13.0,1.0,1.0,4.0,87.0
2019-09-22,TB,NYG,31.0,32.0,Raymond James Stadium,885.0,51.0,83.0,46.0,41.0,27.0,10.0,2.0,2.0,4.0,89.0
