home_games_played,home_points_scored,home_points_allowed,home_wins,home_losses,home_ties,away_games_played,away_points_scored,away_points_allowed,away_wins,away_losses,away_ties,total_games,avg_points_scored,avg_points_allowed,total_wins,total_losses,total_ties,win_percentage,year,team
8,35.0,27.75,5,3,0,8,32.5,23.0,6,2,0,16,33.75,25.375,11,5,0,0.6875,2016,ATL
8,25.375,24.875,6,2,0,8,20.0,22.625,4,4,0,16,22.6875,23.75,10,6,0,0.625,2016,MIA
8,21.0,17.125,7,1,0,8,17.75,18.375,4,4,0,16,19.375,17.75,11,5,0,0.6875,2016,NYG
8,24.25,15.5,6,2,0,8,21.625,25.875,1,7,0,16,22.9375,20.6875,7,9,0,0.4375,2016,PHI
8,23.5,18.0,4,3,1,8,17.125,21.375,2,6,0,16,20.3125,19.6875,6,9,1,0.40625,2016,CIN
8,22.0,20.5,6,2,0,8,21.25,24.25,3,5,0,16,21.625,22.375,9,7,0,0.5625,2016,DET
8,23.0,21.875,4,4,0,8,23.125,28.375,2,6,0,16,23.0625,25.125,6,10,0,0.375,2016,CAR
8,15.375,26.875,1,7,0,8,17.625,29.625,0,8,0,16,16.5,28.25,1,15,0,0.0625,2016,CLE
8,29.125,19.75,7,1,0,8,23.5,18.5,6,2,0,16,26.3125,19.125,13,3,0,0.8125,2016,DAL
8,23.875,15.75,6,2,0,8,24.75,23.125,6,2,0,16,24.3125,19.4375,12,4,0,0.75,2016,KC
8,22.125,18.0,5,3,0,8,18.75,20.375,3,5,0,16,20.4375,19.1875,8,8,0,0.5,2016,MIN
8,31.0,29.5,4,4,0,8,27.625,27.25,3,5,0,16,29.3125,28.375,7,9,0,0.4375,2016,NO
8,25.375,18.375,4,3,1,8,26.875,26.875,3,5,0,16,26.125,22.625,7,8,1,0.46875,2016,ARI
8,29.375,26.625,6,2,0,8,22.625,21.5,6,2,0,16,26.0,24.0625,12,4,0,0.75,2016,OAK
8,28.0,26.5,3,5,0,8,23.25,26.375,2,6,0,16,25.625,26.4375,5,11,0,0.3125,2016,SD
8,22.375,17.875,5,3,0,8,19.25,19.25,4,4,0,16,20.8125,18.5625,9,7,0,0.5625,2016,DEN
8,25.0,22.0,5,3,0,8,22.625,25.25,4,4,0,16,23.8125,23.625,9,7,0,0.5625,2016,TEN
8,17.375,22.75,2,6,0,8,17.0,28.375,3,5,0,16,17.1875,25.5625,5,11,0,0.3125,2016,NYJ
